model,selection_rank,selected,eligible,val_pr_auc,val_roc_auc,val_prevalence,val_pr_auc_lift,cv_best_average_precision,reached_r_min,threshold,threshold_objective,threshold_at_grid_edge,precision,recall,f1,f2,tp,fp,tn,fn,ref050_precision,ref050_recall,ref050_f1,ref050_f2,ref050_tp,ref050_fp,ref050_tn,ref050_fn,complexity_rank,artifact_bytes
xgboost,1,True,True,0.8275724479453841,0.9665102749119142,0.001741534208707671,475.19735403848046,0.8701369460422564,True,0.9111537337303162,recall>=r_min_max_precision,False,0.9807692307692307,0.8095238095238095,0.8869565217391304,0.8388157894736842,51,1,36111,12,0.8947368421052632,0.8095238095238095,0.85,0.8252427184466019,51,6,36106,12,1,552625
random_forest,2,False,True,0.814549278223776,0.9466186766391684,0.001741534208707671,467.7193672975412,0.8489318476315301,True,0.30249912689351843,recall>=r_min_max_precision,False,0.9444444444444444,0.8095238095238095,0.8717948717948718,0.8333333333333334,51,3,36109,12,0.9565217391304348,0.6984126984126984,0.8073394495412844,0.738255033557047,44,2,36110,19,1,9731035
logistic_regression,3,False,True,0.666168016649922,0.9731393425040966,0.001741534208707671,382.51790479858613,0.7244901614621709,True,0.9492637018119852,recall>=r_min_max_precision,False,0.4636363636363636,0.8095238095238095,0.5895953757225434,0.7044198895027625,51,59,36053,12,0.0697084917617237,0.873015873015873,0.12910798122065728,0.2641690682036503,55,734,35378,8,0,5082
